id,cryptography_communications_security_cryptographer,cryptography_communications_security_secure_communications_operator,cyber_security_audit_assurance,cyber_security_governance_risk_management,cyber_security_governance_risk_management_industrial_control_systems,cyber_security_management,cyber_threat_intelligence,data_protection_privacy,digital_forensics,digital_forensics_industrial_control_systems,identity_access_management,incident_response,incident_response_industrial_control_systems,network_monitoring_intrusion_detection,secure_operations,secure_operations_industrial_control_systems,secure_system_architecture_design,secure_system_architecture_design_industrial_control_systems,secure_system_development,secure_system_development_industrial_control_systems,security_testing,vulnerability_management
33,46.0925,46.0925,57.91833333333334,59.4675,53.956,40.77809523809524,56.63857142857143,62.186,54.55,52.034444444444446,53.53,46.97571428571428,45.0925,65.715,51.33375,49.175555555555555,57.20875,54.397777777777776,57.20875,54.397777777777776,64.41,61.89
34,36.18625,36.18625,60,60,60,40.67714285714286,56.68857142857143,64.096,57.425000000000004,61.01444444444444,48.00666666666667,46.628571428571426,52.01625,53.39,43.85125,45.64555555555555,45.12625,50.08222222222222,45.12625,50.08222222222222,50.26,59.34
35,34.42125,34.42125,56.888333333333335,57.515,58.012,32.87190476190476,47.65714285714286,64.254,34.01875,37.388888888888886,46.324444444444445,36.86714285714286,40.3025,53.95,38.7275,41.09111111111111,23.53875,28.073333333333334,23.53875,28.073333333333334,38.14857142857143,54.93
36,19.12,19.12,53.695,53.8825,45.410000000000004,27.916666666666668,42.85857142857143,55.15,34.4575,31.90888888888889,32.17444444444445,33.17857142857143,30.47125,33.8025,25.11,23.6,12.15875,12.087777777777777,12.15875,12.087777777777777,26.164285714285715,37.26833333333333
37,30.40375,30.40375,47.785,50.0725,49.88,29.635714285714286,35.152857142857144,51.461999999999996,31.36375,33.33555555555556,36.42444444444445,26.90142857142857,29.677500000000002,41.9775,35.0275,36.59222222222222,23.62375,26.455555555555556,23.62375,26.455555555555556,35.38,37.695
38,3.4975,3.4975,17.466666666666665,19.16,16.618,9.08,14.717142857142855,13.991999999999999,12.087499999999999,11.461111111111112,7.86,16.40285714285714,15.15875,18.485,17.2675,16.065555555555555,2.7775,3.1855555555555553,2.7775,3.1855555555555553,6.094285714285713,14.45
39,49.54125,49.54125,58.32833333333333,60,60,40.95095238095239,60,63.994,53.6275,57.66888888888889,55.69888888888889,47.142857142857146,52.5,67.5,52.5,53.333333333333336,58.332499999999996,61.85111111111111,58.332499999999996,61.85111111111111,62.72142857142857,63.946666666666665
40,8.67625,8.67625,41.086666666666666,42.7675,34.46,16.396190476190476,32.682857142857145,27.082,20.771250000000002,18.6,21.914444444444445,26.632857142857144,23.4575,24.235,18.05,16.18111111111111,5.22875,4.7844444444444445,5.22875,4.7844444444444445,11.87,28.328333333333333
41,42.8525,42.8525,60,60,60,38.61857142857143,47.69428571428571,64.844,50.9625,54.75,42.93333333333333,42.71142857142857,48.00375,57.5,43.75125,45.556666666666665,52.879999999999995,56.45444444444444,52.879999999999995,56.45444444444444,59.61142857142857,55.33833333333333
42,7.0912500000000005,7.0912500000000005,11.7,12.535,13.524000000000001,7.846190476190476,8.187142857142858,10.83,7.05625,8.214444444444444,9.137777777777778,7.37,8.63375,8.5975,7.9525,9.011111111111111,5.05,6.431111111111111,5.05,6.431111111111111,6.917142857142857,8.645
43,55.785,52.5,52.97666666666667,56.965,57.572,39.42190476190476,58.69857142857143,58.178,51.7425,55.99333333333333,51.71111111111111,47.142857142857146,52.5,67.5,52.5,53.333333333333336,55.48625,59.32111111111111,55.48625,59.32111111111111,57.825714285714284,57.56666666666666
44,3.75,3.75,17.825,15,12,5.092857142857143,18.330000000000002,15.39,17.11875,15.216666666666665,6.666666666666666,8.571428571428573,7.5,7.5,0,0,0,0,0,0,12.857142857142856,10
45,16.506249999999998,16.506249999999998,43.388333333333335,48.53,38.824,19.55095238095238,37.59285714285714,36.71,19.85625,17.65,25.343333333333334,30.44857142857143,26.642500000000002,38.3625,20.615,18.324444444444445,6.39,5.68,6.39,5.68,21.667142857142856,36.055
46,31.06625,31.06625,58.99166666666667,60,50.792,35.22238095238095,52.44,58.338,46.5275,42.90888888888889,35.57666666666667,43.13142857142857,39.485,62.62,39.75375,36.88777777777778,37.785,35.13777777777778,37.785,35.13777777777778,61.111428571428576,52.15
47,18.81875,18.81875,17.115000000000002,14.735,15.914,17.65047619047619,34.362857142857145,17.419999999999998,23.6425,23.30777777777778,23.613333333333333,30,28.82875,52.4725,38.30625,36.34222222222222,15.6775,16.227777777777778,15.6775,16.227777777777778,21.12142857142857,44.19833333333334
48,29.06625,29.06625,46.58833333333333,54.4275,49.414,34.305238095238096,35.96714285714286,48.644,34.84,34.23111111111111,38.94,32.25142857142857,31.89,29.994999999999997,29.47,29.45777777777778,29.07625,29.107777777777777,29.07625,29.107777777777777,32.504285714285714,36.763333333333335
49,5.23875,5.23875,26.736666666666665,31.65,25.32,9.869047619047619,13.122857142857143,21.262,6.215,5.524444444444444,13.103333333333333,11.76,10.29,12.8625,6.930000000000001,6.16,3.32375,2.954444444444445,3.32375,2.954444444444445,9.167142857142856,13.575
50,15.77375,15.77375,51.971666666666664,60,48,21.47190476190476,27.21142857142857,45.914,24.08625,21.41,23.871111111111112,18.64,16.31,34.1675,20.06,17.83111111111111,9.51625,8.45888888888889,9.51625,8.45888888888889,28.71,34.291666666666664
51,13.43125,13.43125,50.041666666666664,51.605000000000004,50.744,23.698095238095238,44.77142857142857,40.672,27.23125,29.461111111111112,24.902222222222225,33.19571428571429,34.95875,38.03,22.868750000000002,25.583333333333336,6.45625,10.994444444444445,6.45625,10.994444444444445,21.12,35.95
52,37.855000000000004,37.855000000000004,54.805,54.817499999999995,55.854,39.28380952380952,53.05571428571429,61.714,53.30125,55.70111111111111,51.64333333333333,45.16142857142857,48.87875,55.832499999999996,47.911249999999995,49.254444444444445,52.37375,54.876666666666665,52.37375,54.876666666666665,58.36714285714286,60.36833333333333
53,42.82625,42.82625,51.501666666666665,57.0975,57.678,35.03476190476191,44.635714285714286,49.218,39.57625,42.846666666666664,47.23444444444444,38.221428571428575,42.07,56.1325,43.62625,45.44555555555556,49.565,51.72555555555555,49.565,51.72555555555555,54.621428571428574,50.495
54,35.99375,35.99375,48.593333333333334,48.9875,51.19,33.11047619047619,51.96714285714286,45.204,43.35,46.29111111111111,39.254444444444445,44.26857142857143,47.4625,67.4975,45.542500000000004,47.14888888888889,45.60125,48.29222222222222,45.60125,48.29222222222222,56.01571428571428,61.40833333333333
55,4.19,4.19,2.408333333333333,1.8775,2.89,2.7114285714285713,2.0642857142857145,6.704,1.80625,2.3766666666666665,4.495555555555556,0.9914285714285714,1.7349999999999999,1.7349999999999999,3.2512500000000006,3.6611111111111114,1.1925,1.8311111111111111,1.1925,1.8311111111111111,3.427142857142857,1.1566666666666667
56,32.77375,32.214999999999996,18.876666666666665,16.5625,25.25,20.366190476190475,17.127142857142857,36.718,20.645,25.82,30.220000000000002,13.481428571428571,20.19875,14.745000000000001,21.22125,25.53,24.235,29.011111111111113,24.235,29.011111111111113,15.168571428571429,15.180000000000001
