scenario_id,cryptography_communications_security_cryptographer,cryptography_communications_security_secure_communications_operator,cyber_security_audit_assurance,cyber_security_governance_risk_management,cyber_security_governance_risk_management_industrial_control_systems,cyber_security_management,cyber_threat_intelligence,data_protection_privacy,digital_forensics,digital_forensics_industrial_control_systems,identity_access_management,incident_response,incident_response_industrial_control_systems,network_monitoring_intrusion_detection,secure_operations,secure_operations_industrial_control_systems,secure_system_architecture_design,secure_system_architecture_design_industrial_control_systems,secure_system_development,secure_system_development_industrial_control_systems,security_testing,vulnerability_management
40,0.09715555555555555,0.10409523809523809,0.36533333333333334,0.3496666666666667,0.2870333333333333,0.21371264367816095,0.5248095238095238,0.17463636363636365,0.45164583333333336,0.3841754385964913,0.19933333333333333,0.4257272727272727,0.33971428571428564,0.28944444444444445,0.2024047619047619,0.18166666666666664,0.025648148148148146,0.025460317460317457,0.025648148148148146,0.025460317460317457,0.17476470588235293,0.28469230769230774
41,0.6915111111111111,0.740904761904762,0.9890555555555556,1,1,0.898367816091954,0.695952380952381,0.8062424242424242,0.70025,0.7328771929824561,0.8108039215686275,0.7948484848484849,0.818857142857143,0.8442592592592593,0.8618571428571429,0.879125,0.7706481481481481,0.7901111111111111,0.7706481481481481,0.7901111111111111,0.7929607843137254,0.7745641025641026
42,0.10995555555555557,0.11780952380952382,0.20775000000000002,0.31162500000000004,0.29610000000000003,0.12449425287356322,0.17873809523809525,0.16845454545454547,0.15639583333333335,0.15633333333333335,0.09647058823529413,0.17539393939393938,0.17123809523809522,0.14325925925925925,0.1378095238095238,0.14983333333333332,0.03607407407407408,0.0532063492063492,0.03607407407407408,0.0532063492063492,0.10954901960784315,0.09917948717948717
43,0.9819777777777777,0.9806904761904761,0.9462222222222222,1,1,0.9777471264367816,1,0.9413333333333332,0.8873333333333332,0.9051228070175438,0.927078431372549,1,1,1,1,1,0.9622592592592593,0.9676507936507937,0.9622592592592593,0.9676507936507937,0.9600392156862745,0.9046410256410257
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0.5118222222222222,0.5483809523809524,0.92425,1,1,0.7533563218390803,0.8324285714285714,0.7355454545454545,0.6427708333333334,0.6512631578947369,0.627078431372549,0.8832121212121211,0.8432142857142857,0.8152592592592591,0.8393809523809524,0.8594583333333333,0.35224074074074074,0.4014285714285714,0.35224074074074074,0.4014285714285714,0.4524313725490196,0.7966923076923076
46,0.6166888888888888,0.6208571428571429,0.9080833333333334,1,0.8042333333333334,0.6154022988505748,0.7303333333333334,0.7179090909090909,0.6974375,0.5895438596491228,0.5582549019607844,0.6655454545454546,0.525952380952381,0.4694074074074074,0.6141904761904763,0.5400625,0.2554444444444444,0.22096825396825398,0.2554444444444444,0.22096825396825398,0.20976470588235294,0.4845128205128205
47,0.13053333333333333,0.13985714285714287,0.25,0.125,0.1,0.20689655172413793,0.5729285714285715,0,0.286,0.24084210526315789,0.11764705882352941,0.6887272727272727,0.5411428571428571,0.8842222222222222,0.4255714285714286,0.372375,0.05555555555555555,0.047619047619047616,0.05555555555555555,0.047619047619047616,0.3178235294117647,0.6564615384615384
48,0.19948888888888885,0.2137380952380952,0.8023888888888888,0.8292083333333333,0.6766333333333333,0.49679310344827576,0.5905238095238095,0.7293939393939394,0.46143749999999994,0.3955614035087719,0.5166274509803922,0.5732424242424243,0.4598809523809524,0.49237037037037035,0.2705714285714285,0.24504166666666666,0.16357407407407404,0.1465238095238095,0.16357407407407404,0.1465238095238095,0.4502745098039216,0.6180256410256411
49,0.15722222222222224,0.16845238095238096,0.46836111111111106,0.5365833333333333,0.4649,0.31824137931034485,0.24619047619047618,0.4893939393939394,0.15714583333333332,0.1510877192982456,0.31666666666666665,0.34469696969696967,0.29628571428571426,0.19029629629629627,0.2510238095238095,0.24191666666666664,0.10383333333333332,0.10596825396825395,0.10383333333333332,0.10596825396825395,0.163078431372549,0.21325641025641023
