id,Specialism,alignment_type,threshold_sum,indicator_sum,indicator_mean,indicator_max,indicator_min,alignment_index
7,Security Testing,personal,510,200.19,28.59857142857143,72.02,10.97,0.3925294117647059
7,Vulnerability Management,personal,390,168.32,28.053333333333335,60,10.97,0.43158974358974356
8,Cryptography & Communications Security (Cryptographer),personal,450,86.07000000000001,10.75875,30,1.1,0.1912666666666667
8,Cryptography & Communications Security (Secure Communications Operator),personal,420,86.07000000000001,10.75875,30,1.1,0.20492857142857146
8,Cyber Security Audit & Assurance,personal,360,192.14,32.02333333333333,90,0.82,0.5337222222222222
8,Cyber Security Governance & Risk Management,personal,240,161.32,40.33,90,1.78,0.6721666666666667
8,Cyber Security Governance & Risk Management (Industrial Control Systems),personal,300,167.22,33.444,90,1.78,0.5574
8,Cyber Security Management,personal,870,267.13999999999993,12.72095238095238,90,0.69,0.3070574712643677
8,Cyber Threat Intelligence,personal,420,81.98,11.711428571428572,45.4,0.69,0.1951904761904762
8,Data Protection & Privacy,personal,330,220.64,44.128,90,1.1,0.6686060606060605
8,Digital Forensics,personal,480,56.37,7.04625,45.4,0.82,0.1174375
8,Digital Forensics (Industrial Control Systems),personal,570,62.269999999999996,6.918888888888889,45.4,0.82,0.10924561403508772
8,Identity & Access Management,personal,510,174.95999999999998,19.44,60,0.82,0.34305882352941175
8,Incident response,personal,330,32.64000000000001,4.662857142857144,24.14,0.69,0.09890909090909093
8,Incident response (Industrial Control Systems),personal,420,38.540000000000006,4.8175,24.14,0.69,0.09176190476190478
8,Network Monitoring & Intrusion Detection,personal,270,4.8,1.2,1.78,0.69,0.017777777777777778
8,Secure Operations,personal,420,34.57,4.32125,24.14,0.69,0.0823095238095238
8,Secure Operations (Industrial control systems),personal,480,40.47,4.496666666666667,24.14,0.69,0.0843125
8,Secure System Architecture & Design,personal,540,30.18,3.7724999999999995,18.24,1.51,0.05588888888888889
8,Secure System Architecture & Design (Industrial Control Systems),personal,630,36.08,4.0088888888888885,18.24,1.51,0.05726984126984127
8,Secure System Development,personal,540,30.18,3.7724999999999995,18.24,1.51,0.05588888888888889
8,Secure System Development (Industrial Control Systems),personal,630,36.08,4.0088888888888885,18.24,1.51,0.05726984126984127
8,Security Testing,personal,510,53.35999999999999,7.622857142857143,45.4,0.69,0.10462745098039214
8,Vulnerability Management,personal,390,36.309999999999995,6.051666666666667,30,0.69,0.0931025641025641
9,Cryptography & Communications Security (Cryptographer),personal,450,262.21,32.77625,90,7,0.5826888888888888
9,Cryptography & Communications Security (Secure Communications Operator),personal,420,232.20999999999998,29.02625,62,7,0.5528809523809524
9,Cyber Security Audit & Assurance,personal,360,324.7,54.11666666666667,87.24,19.2,0.9019444444444444
9,Cyber Security Governance & Risk Management,personal,240,237.11,59.2775,87.11,30,0.9879583333333334
9,Cyber Security Governance & Risk Management (Industrial Control Systems),personal,300,249.32000000000002,49.864,87.11,12.21,0.8310666666666667
9,Cyber Security Management,personal,870,638.2099999999999,30.39095238095238,87.24,7,0.733574712643678
9,Cyber Threat Intelligence,personal,420,215.05,30.72142857142857,60,13.85,0.5120238095238095
9,Data Protection & Privacy,personal,330,250.49,50.098,87.24,12.62,0.7590606060606061
9,Digital Forensics,personal,480,246.98999999999998,30.87375,87.24,12.89,0.5145624999999999
9,Digital Forensics (Industrial Control Systems),personal,570,259.2,28.8,87.24,12.21,0.45473684210526316
9,Identity & Access Management,personal,510,295.28,32.80888888888889,60,7,0.5789803921568627
9,Incident response,personal,330,171.10000000000002,24.442857142857143,41.15,13.85,0.5184848484848485
9,Incident response (Industrial Control Systems),personal,420,183.31000000000003,22.91375,41.15,12.21,0.43645238095238104
9,Network Monitoring & Intrusion Detection,personal,270,136.2,34.05,62,13.85,0.5044444444444444
9,Secure Operations,personal,420,204.67,25.583750000000002,60,7,0.4873095238095238
9,Secure Operations (Industrial control systems),personal,480,216.88,24.09777777777778,60,7,0.4518333333333333
9,Secure System Architecture & Design,personal,540,194.8,24.35,60,7,0.36074074074074075
9,Secure System Architecture & Design (Industrial Control Systems),personal,630,207.01000000000002,23.00111111111111,60,7,0.3285873015873016
9,Secure System Development,personal,540,194.8,24.35,60,7,0.36074074074074075
9,Secure System Development (Industrial Control Systems),personal,630,207.01000000000002,23.00111111111111,60,7,0.3285873015873016
9,Security Testing,personal,510,217.60000000000002,31.085714285714285,62,12.89,0.4266666666666667
9,Vulnerability Management,personal,390,180.66,30.11,60,13.85,0.4632307692307692
10,Cryptography & Communications Security (Cryptographer),personal,450,186.34999999999997,23.29375,50.48,4.53,0.41411111111111104
10,Cryptography & Communications Security (Secure Communications Operator),personal,420,186.34999999999997,23.29375,50.48,4.53,0.44369047619047614
10,Cyber Security Audit & Assurance,personal,360,189.99,31.665,77.37,4.53,0.52775
10,Cyber Security Governance & Risk Management,personal,240,170.47,42.6175,77.37,9.33,0.7102916666666667
10,Cyber Security Governance & Risk Management (Industrial Control Systems),personal,300,230.47,46.094,77.37,9.33,0.7682333333333333
10,Cyber Security Management,personal,870,469.9700000000001,22.37952380952381,77.37,2.74,0.5401954022988507
10,Cyber Threat Intelligence,personal,420,200.60000000000002,28.65714285714286,53.77,9.74,0.47761904761904767
10,Data Protection & Privacy,personal,330,153.42,30.684,60,4.53,0.4649090909090909
10,Digital Forensics,personal,480,197.07,24.63375,53.77,9.74,0.4105625
10,Digital Forensics (Industrial Control Systems),personal,570,287.07,31.89666666666667,90,9.74,0.5036315789473684
10,Identity & Access Management,personal,510,234.95999999999998,26.106666666666666,60,4.53,0.46070588235294113
10,Incident response,personal,330,140.15,20.021428571428572,35.25,9.33,0.42469696969696974
10,Incident response (Industrial Control Systems),personal,420,230.15,28.76875,90,9.33,0.5479761904761905
10,Network Monitoring & Intrusion Detection,personal,270,121.12,30.28,50.48,9.74,0.4485925925925926
10,Secure Operations,personal,420,229.22,28.6525,50.48,9.33,0.5457619047619048
10,Secure Operations (Industrial control systems),personal,480,289.22,32.135555555555555,60,9.33,0.6025416666666668
10,Secure System Architecture & Design,personal,540,171.42000000000002,21.4275,47.6,5.08,0.3174444444444445
10,Secure System Architecture & Design (Industrial Control Systems),personal,630,261.42,29.046666666666667,90,5.08,0.41495238095238096
10,Secure System Development,personal,540,171.42000000000002,21.4275,47.6,5.08,0.3174444444444445
10,Secure System Development (Industrial Control Systems),personal,630,261.42,29.046666666666667,90,5.08,0.41495238095238096
10,Security Testing,personal,510,195.45999999999998,27.922857142857143,53.77,9.74,0.38325490196078427
10,Vulnerability Management,personal,390,173.34,28.89,50.48,9.74,0.44446153846153846
11,Cryptography & Communications Security (Cryptographer),personal,450,41.839999999999996,5.2299999999999995,12.35,2.47,0.09297777777777777
11,Cryptography & Communications Security (Secure Communications Operator),personal,420,41.839999999999996,5.2299999999999995,12.35,2.47,0.09961904761904761
11,Cyber Security Audit & Assurance,personal,360,93.01,15.501666666666669,67.76,3.57,0.25836111111111115
