id,Specialism,max_threshold_value,alignment_sum,alignment_index,alignment_mean,max,min
4,Digital Forensics (Industrial Control Systems),570,438.95,0.7700877192982456,48.77222222222222,100,1.73
4,Identity & Access Management,510,250.11999999999998,0.4904313725490196,27.79111111111111,69.36,1.45
4,Incident response,330,276.64,0.8383030303030302,39.52,100,34.97
4,Incident response (Industrial Control Systems),420,366.64,0.8729523809523809,45.83,100,34.97
4,Network Monitoring & Intrusion Detection,270,169.58999999999997,0.6281111111111111,42.3975,69.36,34.97
4,Secure Operations,420,325.78,0.7756666666666666,40.7225,100,34.97
4,Secure Operations (Industrial control systems),480,385.78,0.8037083333333332,42.864444444444445,100,34.97
4,Secure System Architecture & Design,540,236.33999999999997,0.4376666666666666,29.5425,57.8,1.73
4,Secure System Architecture & Design (Industrial Control Systems),630,326.34,0.5179999999999999,36.26,100,1.73
4,Secure System Development,540,236.33999999999997,0.4376666666666666,29.5425,57.8,1.73
4,Secure System Development (Industrial Control Systems),630,326.34,0.5179999999999999,36.26,100,1.73
4,Security Testing,510,194.44,0.3812549019607843,27.777142857142856,52.89,1.73
4,Vulnerability Management,390,223.62999999999997,0.5734102564102563,37.27166666666667,69.36,1.73
5,Cryptography & Communications Security (Cryptographer),450,30,0.06666666666666667,3.75,82.95,0
5,Cryptography & Communications Security (Secure Communications Operator),420,30,0.07142857142857142,3.75,82.95,0
5,Cyber Security Audit & Assurance,360,172.95,0.48041666666666666,28.825,96.24,0
5,Cyber Security Governance & Risk Management,240,150,0.625,37.5,96.24,0
5,Cyber Security Governance & Risk Management (Industrial Control Systems),300,150,0.5,30,96.24,0
5,Cyber Security Management,870,172.95,0.19879310344827586,8.235714285714288,96.24,0
5,Cyber Threat Intelligence,420,90,0.21428571428571427,12.857142857142856,96.24,0
5,Data Protection & Privacy,330,142.95,0.43318181818181817,28.59,96.24,0
5,Digital Forensics,480,82.95,0.1728125,10.36875,82.95,0
5,Digital Forensics (Industrial Control Systems),570,82.95,0.1455263157894737,9.216666666666665,82.95,0
5,Identity & Access Management,510,90,0.17647058823529413,10,96.24,0
5,Incident response,330,0,0,0,0,0
5,Incident response (Industrial Control Systems),420,0,0,0,0,0
5,Network Monitoring & Intrusion Detection,270,0,0,0,0,0
5,Secure Operations,420,0,0,0,0,0
5,Secure Operations (Industrial control systems),480,0,0,0,0,0
5,Secure System Architecture & Design,540,0,0,0,0,0
5,Secure System Architecture & Design (Industrial Control Systems),630,0,0,0,0,0
5,Secure System Development,540,0,0,0,0,0
5,Secure System Development (Industrial Control Systems),630,0,0,0,0,0
5,Security Testing,510,60,0.11764705882352941,8.571428571428573,82.95,0
5,Vulnerability Management,390,30,0.07692307692307693,5,96.24,0
6,Cryptography & Communications Security (Cryptographer),450,144.09,0.3202,18.01125,92.18,0
6,Cryptography & Communications Security (Secure Communications Operator),420,144.09,0.3430714285714286,18.01125,92.18,0
6,Cyber Security Audit & Assurance,360,90,0.25,15,92.32,0
6,Cyber Security Governance & Risk Management,240,90,0.375,22.5,92.32,0
6,Cyber Security Governance & Risk Management (Industrial Control Systems),300,90,0.3,18,92.32,0
6,Cyber Security Management,870,263.18,0.3025057471264368,12.532380952380953,100,0
6,Cyber Threat Intelligence,420,60,0.14285714285714285,8.571428571428573,92.32,0
6,Data Protection & Privacy,330,120,0.36363636363636365,24,92.32,0
6,Digital Forensics,480,120,0.25,15,100,0
6,Digital Forensics (Industrial Control Systems),570,120,0.21052631578947367,13.333333333333332,100,0
6,Identity & Access Management,510,312.6,0.6129411764705883,34.733333333333334,100,0
6,Incident response,330,30,0.09090909090909091,4.285714285714286,60.91,0
6,Incident response (Industrial Control Systems),420,30,0.07142857142857142,3.75,60.91,0
6,Network Monitoring & Intrusion Detection,270,60.91,0.22559259259259257,15.2275,60.91,0
6,Secure Operations,420,199.42000000000002,0.47480952380952385,24.9275,92.18,0
6,Secure Operations (Industrial control systems),480,199.42000000000002,0.4154583333333334,22.157777777777778,92.18,0
6,Secure System Architecture & Design,540,233.95000000000002,0.43324074074074076,29.24375,100,0
6,Secure System Architecture & Design (Industrial Control Systems),630,233.95000000000002,0.3713492063492064,25.994444444444444,100,0
6,Secure System Development,540,233.95000000000002,0.43324074074074076,29.24375,100,0
6,Secure System Development (Industrial Control Systems),630,233.95000000000002,0.3713492063492064,25.994444444444444,100,0
