"","scenario_id","permutation","threshold_sum","values_sum","alignment_index","n_permutations"
"299",2,"Cyber Security Governance & Risk Management, Incident response",570,415.46,0.728877192982456,2
"300",2,"Cyber Security Governance & Risk Management, Incident response (Industrial Control Systems)",660,505.46,0.765848484848485,2
"301",2,"Cyber Security Governance & Risk Management, Network Monitoring & Intrusion Detection",510,381.56,0.748156862745098,2
"302",2,"Cyber Security Governance & Risk Management, Secure Operations",660,492.64,0.746424242424242,2
"303",2,"Cyber Security Governance & Risk Management, Secure Operations (Industrial control systems)",720,552.64,0.767555555555556,2
"304",2,"Cyber Security Governance & Risk Management, Secure System Architecture & Design",780,480.56,0.616102564102564,2
"305",2,"Cyber Security Governance & Risk Management, Secure System Architecture & Design (Industrial Control Systems)",870,570.56,0.655816091954023,2
"306",2,"Cyber Security Governance & Risk Management, Secure System Development",780,480.56,0.616102564102564,2
"307",2,"Cyber Security Governance & Risk Management, Secure System Development (Industrial Control Systems)",870,570.56,0.655816091954023,2
"308",2,"Cyber Security Governance & Risk Management, Security Testing",750,465.02,0.620026666666667,2
"309",2,"Cyber Security Governance & Risk Management, Vulnerability Management",630,421.63,0.669253968253968,2
"310",2,"Cyber Security Governance & Risk Management (Industrial Control Systems), Cyber Security Management",1170,940.26,0.803641025641026,2
"311",2,"Cyber Security Governance & Risk Management (Industrial Control Systems), Cyber Threat Intelligence",720,505.46,0.702027777777778,2
"312",2,"Cyber Security Governance & Risk Management (Industrial Control Systems), Data Protection & Privacy",630,548.45,0.870555555555556,2
"313",2,"Cyber Security Governance & Risk Management (Industrial Control Systems), Digital Forensics",780,577.2,0.74,2
"314",2,"Cyber Security Governance & Risk Management (Industrial Control Systems), Digital Forensics (Industrial Control Systems)",870,667.2,0.766896551724138,2
"315",2,"Cyber Security Governance & Risk Management (Industrial Control Systems), Identity & Access Management",810,534.54,0.659925925925926,2
"316",2,"Cyber Security Governance & Risk Management (Industrial Control Systems), Incident response",630,475.46,0.754698412698413,2
"317",2,"Cyber Security Governance & Risk Management (Industrial Control Systems), Incident response (Industrial Control Systems)",720,565.46,0.785361111111111,2
"318",2,"Cyber Security Governance & Risk Management (Industrial Control Systems), Network Monitoring & Intrusion Detection",570,441.56,0.774666666666667,2
"319",2,"Cyber Security Governance & Risk Management (Industrial Control Systems), Secure Operations",720,552.64,0.767555555555556,2
"320",2,"Cyber Security Governance & Risk Management (Industrial Control Systems), Secure Operations (Industrial control systems)",780,612.64,0.785435897435897,2
"321",2,"Cyber Security Governance & Risk Management (Industrial Control Systems), Secure System Architecture & Design",840,540.56,0.64352380952381,2
"322",2,"Cyber Security Governance & Risk Management (Industrial Control Systems), Secure System Architecture & Design (Industrial Control Systems)",930,630.56,0.678021505376344,2
"323",2,"Cyber Security Governance & Risk Management (Industrial Control Systems), Secure System Development",840,540.56,0.64352380952381,2
"324",2,"Cyber Security Governance & Risk Management (Industrial Control Systems), Secure System Development (Industrial Control Systems)",930,630.56,0.678021505376344,2
"325",2,"Cyber Security Governance & Risk Management (Industrial Control Systems), Security Testing",810,525.02,0.648172839506173,2
"326",2,"Cyber Security Governance & Risk Management (Industrial Control Systems), Vulnerability Management",690,481.63,0.698014492753623,2
"327",2,"Cyber Security Management, Cyber Threat Intelligence",1290,845.72,0.655596899224806,2
"328",2,"Cyber Security Management, Data Protection & Privacy",1200,888.71,0.740591666666667,2
"329",2,"Cyber Security Management, Digital Forensics",1350,917.46,0.6796,2
