"","id","permutation","test_max","reference_max","alignment_index","n_permutations"
"14127","62","Cryptography & Communications Security (Secure Communications Operator), Secure System Architecture & Design",0,0,NA,2
"14128","62","Cryptography & Communications Security (Secure Communications Operator), Secure System Architecture & Design (Industrial Control Systems)",0,0,NA,2
"14129","62","Cryptography & Communications Security (Secure Communications Operator), Secure System Development",0,0,NA,2
"14130","62","Cryptography & Communications Security (Secure Communications Operator), Secure System Development (Industrial Control Systems)",0,0,NA,2
"14131","62","Cryptography & Communications Security (Secure Communications Operator), Security Testing",120,200,0.6,2
"14132","62","Cryptography & Communications Security (Secure Communications Operator), Vulnerability Management",120,200,0.6,2
"14133","62","Cyber Security Audit & Assurance, Cyber Security Governance & Risk Management",30,100,0.3,2
"14134","62","Cyber Security Audit & Assurance, Cyber Security Governance & Risk Management (Industrial Control Systems)",30,100,0.3,2
"14135","62","Cyber Security Audit & Assurance, Cyber Security Management",90,250.21,0.359697853802806,2
"14136","62","Cyber Security Audit & Assurance, Cyber Threat Intelligence",210,250.21,0.839294992206546,2
"14137","62","Cyber Security Audit & Assurance, Data Protection & Privacy",30,100,0.3,2
"14138","62","Cyber Security Audit & Assurance, Digital Forensics",110.21,150.21,0.73370614473071,2
"14139","62","Cyber Security Audit & Assurance, Digital Forensics (Industrial Control Systems)",110.21,150.21,0.73370614473071,2
"14140","62","Cyber Security Audit & Assurance, Identity & Access Management",30,100,0.3,2
"14141","62","Cyber Security Audit & Assurance, Incident response",150,250.21,0.599496423004676,2
"14142","62","Cyber Security Audit & Assurance, Incident response (Industrial Control Systems)",150,250.21,0.599496423004676,2
"14143","62","Cyber Security Audit & Assurance, Network Monitoring & Intrusion Detection",90,200,0.45,2
"14144","62","Cyber Security Audit & Assurance, Secure Operations",60,150.21,0.399440782903934,2
"14145","62","Cyber Security Audit & Assurance, Secure Operations (Industrial control systems)",60,150.21,0.399440782903934,2
"14146","62","Cyber Security Audit & Assurance, Secure System Architecture & Design",30,100,0.3,2
"14147","62","Cyber Security Audit & Assurance, Secure System Architecture & Design (Industrial Control Systems)",30,100,0.3,2
"14148","62","Cyber Security Audit & Assurance, Secure System Development",30,100,0.3,2
"14149","62","Cyber Security Audit & Assurance, Secure System Development (Industrial Control Systems)",30,100,0.3,2
"14150","62","Cyber Security Audit & Assurance, Security Testing",120,200,0.6,2
"14151","62","Cyber Security Audit & Assurance, Vulnerability Management",120,200,0.6,2
"14152","62","Cyber Security Governance & Risk Management, Cyber Security Governance & Risk Management (Industrial Control Systems)",0,0,NA,2
"14153","62","Cyber Security Governance & Risk Management, Cyber Security Management",90,250.21,0.359697853802806,2
"14154","62","Cyber Security Governance & Risk Management, Cyber Threat Intelligence",210,250.21,0.839294992206546,2
"14155","62","Cyber Security Governance & Risk Management, Data Protection & Privacy",0,0,NA,2
"14156","62","Cyber Security Governance & Risk Management, Digital Forensics",110.21,150.21,0.73370614473071,2
